0	0.789424
1	0.078590
2	0.770825
3	0.687339
4	0.331117
5	0.705304
6	0.016738
7	0.919557
8	0.116890
9	0.742539
10	0.753153
11	0.816710
12	0.476129
13	0.593368
14	0.059963
15	0.743241
16	0.632201
17	0.768985
18	0.920284
19	0.425233
20	0.195257
21	0.700255
22	0.688121
23	0.891973
24	0.475414
25	0.575332
26	0.631593
27	0.895819
28	0.784884
29	0.639699
30	0.820774
31	0.776831
32	0.097567
33	0.529908
34	0.530963
35	0.727004
36	0.050962
37	0.739803
38	0.651846
39	0.586866
40	0.640130
41	0.279467
42	0.752031
43	0.192460
44	0.150826
45	0.809694
46	0.821383
47	0.763854
48	0.827561
49	1.000000
50	0.637814
51	0.872615
52	0.695627
53	0.733225
54	0.582156
55	0.809681
56	0.703278
57	0.665544
58	0.905985
59	0.692738
60	0.686350
61	0.936989
62	0.938603
63	0.814648
64	0.889889
65	0.814070
66	0.869157
67	0.698901
68	0.786576
69	0.803333
70	0.834992
71	0.639207
72	0.031292
73	0.374481
74	0.644063
75	0.078772
76	0.774575
77	0.792138
78	0.709010
79	0.163718
80	0.693207
81	0.794011
82	0.633087
83	0.877554
84	0.763814
85	0.739200
86	0.755862
87	0.810847
88	0.238136
89	0.759776
90	0.662736
91	0.387310
92	0.683209
93	0.852515
94	0.937901
95	0.377946
96	0.629047
97	0.709908
98	0.750563
99	0.703083
